,id,house_price
0,14,1918154.0
1,30,739142.0
2,70,1621938.0
3,77,1319862.0
4,50,146250.0
5,35,1424754.0
6,73,1992653.0
7,52,449970.0
8,72,171019.0
9,98,976422.0
10,74,854226.0
11,79,256222.0
12,65,1249756.0
13,97,237061.0
14,39,1307343.0
15,96,155828.0
16,57,172084.0
17,28,1984103.0
18,48,562991.0
19,71,201553.0
20,8,257405.0
21,22,175919.0
22,29,671670.0
23,24,1926923.0
24,67,679388.0
25,66,437373.0
26,47,184938.0
27,23,101448.0
28,53,702677.0
29,51,1915963.0
30,61,1968275.0
31,12,1702265.0
32,0,1421908.0
33,5,1703033.0
34,99,183621.0
35,41,1395812.0
36,91,163454.0
37,43,166583.0
38,49,137992.0
39,95,132599.0
40,85,857706.0
41,38,1124135.0
42,7,1236645.0
43,44,419235.0
44,94,603906.0
45,69,1146959.0
46,31,138077.0
47,46,1953216.0
48,27,172881.0
49,4,108290.0
50,78,333071.0
51,11,705365.0
52,54,1186832.0
53,32,802158.0
54,6,340284.0
55,80,1736070.0
56,83,561311.0
57,17,1823797.0
58,82,190521.0
59,34,815381.0
60,58,488708.0
61,87,1838679.0
62,88,182134.0
63,25,177995.0
64,55,149843.0
65,2,164373.0
66,56,1330422.0
67,13,182191.0
68,76,364103.0
69,62,230820.0
70,20,679036.0
71,1,1305091.0
72,18,226206.0
73,16,657944.0
74,26,254477.0
75,92,103672.0
76,36,1207939.0
77,93,444461.0
78,10,1697584.0
79,86,139665.0
80,68,931942.0
81,37,409136.0
82,40,818882.0
83,59,367565.0
84,45,1921487.0
85,21,269040.0
86,63,1158550.0
87,90,516537.0
88,3,1441714.0
89,75,201511.0
90,60,1100419.0
91,84,572127.0
92,89,550947.0
93,64,614442.0
94,33,999640.0
95,15,157223.0
96,81,1616313.0
97,42,143573.0
98,19,974546.0
99,9,157433.0
